location_id,latitude,longitude,period_1_intensity_m,period_2_intensity_m,period_3_intensity_m,period_1_variance,period_2_variance,period_3_variance,hazard_type,unit
EUR_FLOO_043186,41.93,23.57,1.627,1.887,2.289,0.366,0.381,0.649,flood,meters
EUR_FLOO_043187,41.93,23.66,1.774,2.115,2.837,0.333,0.398,0.647,flood,meters
EUR_FLOO_043188,41.93,23.75,1.67,1.94,2.606,0.279,0.311,0.61,flood,meters
EUR_FLOO_043189,41.93,23.84,1.664,2.058,2.611,0.373,0.42,0.669,flood,meters
EUR_FLOO_043190,41.93,23.93,1.85,2.138,2.776,0.408,0.453,0.711,flood,meters
EUR_FLOO_043191,41.93,24.02,1.895,2.305,2.927,0.36,0.354,0.672,flood,meters
EUR_FLOO_043192,41.93,24.11,1.568,1.945,2.483,0.247,0.4,0.727,flood,meters
EUR_FLOO_043193,41.93,24.2,1.832,2.242,2.691,0.393,0.535,0.705,flood,meters
EUR_FLOO_043194,41.93,24.29,1.79,2.205,2.846,0.404,0.533,0.774,flood,meters
EUR_FLOO_043195,41.93,24.38,1.808,2.255,2.982,0.291,0.415,0.821,flood,meters
EUR_FLOO_043196,41.93,24.47,1.737,2.085,2.592,0.404,0.521,0.585,flood,meters
EUR_FLOO_043197,41.93,24.56,1.651,1.924,2.557,0.258,0.408,0.753,flood,meters
EUR_FLOO_043198,41.93,24.65,1.817,2.127,2.792,0.44,0.395,0.691,flood,meters
EUR_FLOO_043199,41.93,24.74,1.791,2.092,2.674,0.35,0.417,0.712,flood,meters
EUR_FLOO_043200,41.93,24.83,1.714,1.983,2.623,0.417,0.322,0.758,flood,meters
EUR_FLOO_043201,41.93,24.92,1.846,2.19,2.856,0.449,0.34,0.757,flood,meters
EUR_FLOO_043202,41.93,25.01,1.596,1.862,2.486,0.384,0.352,0.707,flood,meters
EUR_FLOO_043203,41.93,25.1,1.796,2.143,2.855,0.27,0.451,0.674,flood,meters
EUR_FLOO_043204,41.93,25.19,1.719,1.994,2.4,0.391,0.358,0.702,flood,meters
EUR_FLOO_043205,41.93,25.28,1.718,2.065,2.501,0.38,0.454,0.566,flood,meters
EUR_FLOO_043206,41.93,25.37,1.54,1.883,2.412,0.235,0.352,0.678,flood,meters
EUR_FLOO_043207,41.93,25.46,1.754,2.049,2.546,0.309,0.428,0.592,flood,meters
EUR_FLOO_043208,41.93,25.55,1.745,2.021,2.696,0.268,0.436,0.641,flood,meters
EUR_FLOO_043209,41.93,25.64,1.509,1.834,2.281,0.342,0.342,0.57,flood,meters
EUR_FLOO_043210,41.93,25.73,1.667,2.021,2.693,0.284,0.334,0.605,flood,meters
EUR_FLOO_043211,41.93,25.82,1.519,1.812,2.252,0.363,0.351,0.584,flood,meters
EUR_FLOO_043212,41.93,25.91,1.616,1.909,2.53,0.255,0.303,0.559,flood,meters
EUR_FLOO_043213,41.93,26.0,1.692,2.073,2.572,0.331,0.39,0.582,flood,meters
EUR_FLOO_043214,41.93,26.09,1.472,1.715,2.27,0.303,0.361,0.569,flood,meters
EUR_FLOO_043215,41.93,26.18,1.468,1.688,2.177,0.342,0.388,0.626,flood,meters
EUR_FLOO_043216,41.93,26.27,1.548,1.858,2.416,0.233,0.335,0.572,flood,meters
EUR_FLOO_043217,41.93,26.36,1.597,1.863,2.513,0.373,0.31,0.551,flood,meters
EUR_FLOO_043218,41.93,26.45,1.557,1.862,2.505,0.285,0.436,0.737,flood,meters
EUR_FLOO_043219,41.93,26.54,1.473,1.766,2.161,0.308,0.426,0.569,flood,meters
EUR_FLOO_043220,41.93,26.63,1.683,1.959,2.373,0.39,0.467,0.555,flood,meters
EUR_FLOO_043221,41.93,26.72,1.46,1.813,2.19,0.305,0.329,0.567,flood,meters
EUR_FLOO_043222,41.93,26.81,1.444,1.683,2.228,0.29,0.347,0.551,flood,meters
EUR_FLOO_043223,41.93,26.9,1.38,1.665,2.117,0.251,0.4,0.457,flood,meters
EUR_FLOO_043224,41.93,26.99,1.657,1.955,2.479,0.25,0.412,0.526,flood,meters
EUR_FLOO_043225,41.93,27.08,1.371,1.631,2.18,0.283,0.25,0.553,flood,meters
EUR_FLOO_043226,41.93,27.17,1.601,1.878,2.27,0.283,0.416,0.65,flood,meters
EUR_FLOO_043227,41.93,27.26,1.529,1.813,2.275,0.267,0.406,0.625,flood,meters
EUR_FLOO_043228,41.93,27.35,1.591,1.954,2.584,0.254,0.384,0.622,flood,meters
EUR_FLOO_043229,41.93,27.44,1.449,1.773,2.307,0.262,0.381,0.52,flood,meters
EUR_FLOO_043230,41.93,27.53,1.615,1.928,2.534,0.264,0.385,0.543,flood,meters
EUR_FLOO_043231,41.93,27.62,1.604,1.865,2.336,0.335,0.39,0.632,flood,meters
EUR_FLOO_043232,41.93,27.71,1.444,1.689,2.046,0.316,0.291,0.503,flood,meters
EUR_FLOO_043233,41.93,27.8,1.525,1.891,2.342,0.337,0.317,0.507,flood,meters
EUR_FLOO_043234,41.93,27.89,1.504,1.765,2.157,0.328,0.372,0.624,flood,meters
EUR_FLOO_043235,41.93,27.98,1.581,1.857,2.438,0.35,0.315,0.588,flood,meters
EUR_FLOO_043236,41.93,28.07,1.547,1.856,2.492,0.286,0.325,0.551,flood,meters
EUR_FLOO_043237,41.93,28.16,1.492,1.749,2.132,0.286,0.431,0.444,flood,meters
EUR_FLOO_043238,41.93,28.25,1.668,2.079,2.703,0.4,0.426,0.571,flood,meters
EUR_FLOO_043239,41.93,28.34,1.612,1.935,2.36,0.351,0.425,0.578,flood,meters
EUR_FLOO_043240,41.93,28.43,1.463,1.772,2.32,0.246,0.392,0.638,flood,meters
EUR_FLOO_043241,41.93,28.52,1.699,1.986,2.52,0.4,0.329,0.669,flood,meters
EUR_FLOO_043242,41.93,28.61,1.493,1.77,2.189,0.287,0.278,0.444,flood,meters
EUR_FLOO_043243,41.93,28.7,1.762,2.135,2.733,0.434,0.516,0.79,flood,meters
EUR_FLOO_043244,41.93,28.79,1.57,1.899,2.544,0.381,0.356,0.75,flood,meters
EUR_FLOO_043245,41.93,28.88,1.601,1.871,2.25,0.396,0.332,0.555,flood,meters
EUR_FLOO_043246,41.93,28.97,1.704,2.047,2.518,0.322,0.375,0.535,flood,meters
EUR_FLOO_043247,41.93,29.06,1.61,2.005,2.568,0.34,0.328,0.61,flood,meters
EUR_FLOO_043248,41.93,29.15,1.588,1.952,2.59,0.386,0.315,0.682,flood,meters
EUR_FLOO_043249,41.93,29.24,1.798,2.231,2.81,0.404,0.441,0.8,flood,meters
EUR_FLOO_043250,41.93,29.33,1.494,1.861,2.504,0.231,0.345,0.627,flood,meters
EUR_FLOO_043251,41.93,29.42,1.701,1.971,2.487,0.293,0.401,0.561,flood,meters
EUR_FLOO_043252,41.93,29.51,1.653,1.984,2.393,0.293,0.352,0.519,flood,meters
EUR_FLOO_043253,41.93,29.6,1.496,1.774,2.278,0.298,0.306,0.674,flood,meters
EUR_FLOO_043254,41.93,29.69,1.721,2.117,2.562,0.426,0.437,0.639,flood,meters
EUR_FLOO_043255,41.93,29.78,1.71,2.002,2.448,0.306,0.362,0.526,flood,meters
EUR_FLOO_043256,41.93,29.87,1.569,1.949,2.444,0.238,0.384,0.699,flood,meters
EUR_FLOO_043257,41.93,29.96,1.719,2.143,2.716,0.331,0.379,0.566,flood,meters
EUR_FLOO_043258,41.93,30.05,1.664,2.006,2.582,0.408,0.364,0.555,flood,meters
EUR_FLOO_043259,41.93,30.14,1.484,1.818,2.348,0.336,0.293,0.473,flood,meters
EUR_FLOO_043260,41.93,30.23,1.534,1.867,2.488,0.347,0.395,0.589,flood,meters
EUR_FLOO_043261,41.93,30.32,1.62,1.979,2.55,0.298,0.47,0.709,flood,meters
EUR_FLOO_043262,41.93,30.41,1.793,2.099,2.688,0.292,0.46,0.787,flood,meters
EUR_FLOO_043263,41.93,30.5,1.519,1.852,2.302,0.29,0.43,0.625,flood,meters
EUR_FLOO_043264,41.93,30.59,1.664,2.048,2.562,0.362,0.321,0.69,flood,meters
EUR_FLOO_043265,41.93,30.68,1.749,2.021,2.516,0.413,0.31,0.646,flood,meters
EUR_FLOO_043266,41.93,30.77,1.698,2.073,2.695,0.31,0.469,0.638,flood,meters
EUR_FLOO_043267,41.93,30.86,1.767,2.034,2.479,0.418,0.346,0.529,flood,meters
EUR_FLOO_043268,41.93,30.95,1.733,2.11,2.77,0.43,0.503,0.592,flood,meters
EUR_FLOO_043269,41.93,31.04,1.509,1.792,2.25,0.377,0.41,0.659,flood,meters
EUR_FLOO_043270,41.93,31.13,1.648,1.903,2.302,0.294,0.413,0.565,flood,meters
EUR_FLOO_043271,41.93,31.22,1.602,1.883,2.428,0.38,0.442,0.625,flood,meters
EUR_FLOO_043272,41.93,31.31,1.796,2.222,2.681,0.357,0.469,0.559,flood,meters
EUR_FLOO_043273,41.93,31.4,1.756,2.045,2.552,0.399,0.318,0.705,flood,meters
EUR_FLOO_043274,41.93,31.49,1.551,1.839,2.259,0.287,0.285,0.532,flood,meters
EUR_FLOO_043275,41.93,31.58,1.748,2.146,2.831,0.312,0.515,0.807,flood,meters
EUR_FLOO_043276,41.93,31.67,1.816,2.228,2.877,0.324,0.348,0.736,flood,meters
EUR_FLOO_043277,41.93,31.76,1.672,2.051,2.741,0.327,0.37,0.787,flood,meters
EUR_FLOO_043278,41.93,31.85,1.509,1.838,2.381,0.328,0.332,0.674,flood,meters
EUR_FLOO_043279,41.93,31.94,1.744,2.08,2.599,0.361,0.406,0.524,flood,meters
EUR_FLOO_043280,41.93,32.03,1.68,2.027,2.607,0.358,0.434,0.533,flood,meters
EUR_FLOO_043281,41.93,32.12,1.593,1.842,2.385,0.355,0.417,0.668,flood,meters
EUR_FLOO_043282,41.93,32.21,1.429,1.721,2.271,0.303,0.303,0.506,flood,meters
EUR_FLOO_043283,41.93,32.3,1.638,2.027,2.598,0.267,0.364,0.706,flood,meters
EUR_FLOO_043284,41.93,32.39,1.679,2.05,2.676,0.293,0.309,0.795,flood,meters
EUR_FLOO_043285,41.93,32.48,1.669,1.998,2.672,0.267,0.472,0.641,flood,meters
EUR_FLOO_043286,41.93,32.57,1.658,1.988,2.66,0.338,0.308,0.589,flood,meters
EUR_FLOO_043287,41.93,32.66,1.646,2.035,2.532,0.387,0.468,0.719,flood,meters
EUR_FLOO_043288,41.93,32.75,1.512,1.825,2.451,0.247,0.372,0.57,flood,meters
EUR_FLOO_043289,41.93,32.84,1.519,1.77,2.13,0.233,0.412,0.549,flood,meters
EUR_FLOO_043290,41.93,32.93,1.402,1.681,2.227,0.214,0.334,0.554,flood,meters
EUR_FLOO_043291,41.93,33.02,1.513,1.742,2.171,0.28,0.358,0.535,flood,meters
EUR_FLOO_043292,41.93,33.11,1.548,1.876,2.439,0.29,0.282,0.611,flood,meters
EUR_FLOO_043293,41.93,33.2,1.46,1.79,2.406,0.359,0.382,0.639,flood,meters
EUR_FLOO_043294,41.93,33.29,1.448,1.761,2.211,0.241,0.372,0.484,flood,meters
EUR_FLOO_043295,41.93,33.38,1.538,1.853,2.423,0.373,0.335,0.593,flood,meters
EUR_FLOO_043296,41.93,33.47,1.604,1.985,2.559,0.379,0.359,0.68,flood,meters
EUR_FLOO_043297,41.93,33.56,1.595,1.856,2.459,0.268,0.304,0.604,flood,meters
EUR_FLOO_043298,41.93,33.65,1.379,1.697,2.113,0.245,0.336,0.43,flood,meters
EUR_FLOO_043299,41.93,33.74,1.423,1.638,2.083,0.306,0.253,0.459,flood,meters
EUR_FLOO_043300,41.93,33.83,1.556,1.914,2.316,0.368,0.419,0.54,flood,meters
EUR_FLOO_043301,41.93,33.92,1.57,1.832,2.417,0.378,0.309,0.708,flood,meters
EUR_FLOO_043302,41.93,34.01,1.587,1.859,2.271,0.302,0.407,0.482,flood,meters
EUR_FLOO_043303,41.93,34.1,1.364,1.635,2.019,0.285,0.294,0.578,flood,meters
EUR_FLOO_043304,41.93,34.19,1.569,1.845,2.321,0.313,0.456,0.578,flood,meters
EUR_FLOO_043305,41.93,34.28,1.436,1.721,2.074,0.332,0.312,0.581,flood,meters
EUR_FLOO_043306,41.93,34.37,1.501,1.84,2.288,0.367,0.419,0.521,flood,meters
EUR_FLOO_043307,41.93,34.46,1.475,1.822,2.355,0.349,0.436,0.642,flood,meters
EUR_FLOO_043308,41.93,34.55,1.408,1.678,2.106,0.344,0.321,0.538,flood,meters
EUR_FLOO_043309,41.93,34.64,1.544,1.859,2.404,0.314,0.396,0.622,flood,meters
EUR_FLOO_043310,41.93,34.73,1.59,1.977,2.541,0.328,0.395,0.758,flood,meters
EUR_FLOO_043311,41.93,34.82,1.455,1.815,2.394,0.281,0.298,0.622,flood,meters
EUR_FLOO_043312,41.93,34.91,1.499,1.788,2.407,0.251,0.404,0.539,flood,meters
EUR_FLOO_043313,41.93,35.0,1.525,1.891,2.283,0.343,0.462,0.589,flood,meters
EUR_FLOO_043314,41.93,35.09,1.345,1.572,2.057,0.234,0.298,0.525,flood,meters
EUR_FLOO_043315,41.93,35.18,1.5,1.848,2.389,0.242,0.284,0.508,flood,meters
EUR_FLOO_043316,41.93,35.27,1.486,1.844,2.221,0.268,0.36,0.574,flood,meters
EUR_FLOO_043317,41.93,35.36,1.494,1.817,2.21,0.271,0.341,0.636,flood,meters
EUR_FLOO_043318,41.93,35.45,1.57,1.877,2.293,0.307,0.314,0.638,flood,meters
EUR_FLOO_043319,41.93,35.54,1.577,1.833,2.466,0.347,0.398,0.724,flood,meters
EUR_FLOO_043320,41.93,35.63,1.56,1.864,2.489,0.256,0.299,0.654,flood,meters
EUR_FLOO_043321,41.93,35.72,1.339,1.652,2.149,0.26,0.378,0.487,flood,meters
EUR_FLOO_043322,41.93,35.81,1.545,1.819,2.204,0.362,0.388,0.503,flood,meters
EUR_FLOO_043323,41.93,35.9,1.529,1.882,2.268,0.333,0.374,0.475,flood,meters
EUR_FLOO_043324,41.93,35.99,1.424,1.703,2.052,0.316,0.412,0.586,flood,meters
EUR_FLOO_043325,41.93,36.08,1.464,1.818,2.271,0.278,0.378,0.511,flood,meters
EUR_FLOO_043326,41.93,36.17,1.32,1.621,2.076,0.284,0.257,0.535,flood,meters
EUR_FLOO_043327,41.93,36.26,1.418,1.76,2.271,0.339,0.269,0.525,flood,meters
EUR_FLOO_043328,41.93,36.35,1.402,1.724,2.288,0.237,0.326,0.631,flood,meters
EUR_FLOO_043329,41.93,36.44,1.477,1.828,2.371,0.334,0.285,0.661,flood,meters
EUR_FLOO_043330,41.93,36.53,1.434,1.708,2.177,0.24,0.343,0.442,flood,meters
EUR_FLOO_043331,41.93,36.62,1.369,1.614,1.938,0.331,0.403,0.529,flood,meters
EUR_FLOO_043332,41.93,36.71,1.544,1.862,2.509,0.317,0.338,0.702,flood,meters
EUR_FLOO_043333,41.93,36.8,1.279,1.572,1.928,0.306,0.325,0.409,flood,meters
EUR_FLOO_043334,41.93,36.89,1.524,1.834,2.27,0.27,0.305,0.461,flood,meters
EUR_FLOO_043335,41.93,36.98,1.416,1.716,2.25,0.219,0.426,0.491,flood,meters
EUR_FLOO_043336,41.93,37.07,1.399,1.736,2.092,0.299,0.426,0.456,flood,meters
EUR_FLOO_043337,41.93,37.16,1.501,1.829,2.425,0.358,0.374,0.689,flood,meters
EUR_FLOO_043338,41.93,37.25,1.568,1.865,2.492,0.253,0.379,0.537,flood,meters
EUR_FLOO_043339,41.93,37.34,1.469,1.826,2.259,0.263,0.325,0.629,flood,meters
EUR_FLOO_043340,41.93,37.43,1.37,1.606,2.075,0.21,0.367,0.562,flood,meters
EUR_FLOO_043341,41.93,37.52,1.594,1.833,2.278,0.248,0.442,0.505,flood,meters
EUR_FLOO_043342,41.93,37.61,1.552,1.83,2.471,0.386,0.349,0.6,flood,meters
EUR_FLOO_043343,41.93,37.7,1.406,1.71,2.255,0.32,0.297,0.664,flood,meters
EUR_FLOO_043344,41.93,37.79,1.625,1.962,2.516,0.294,0.327,0.532,flood,meters
EUR_FLOO_043345,41.93,37.88,1.382,1.627,2.161,0.306,0.305,0.563,flood,meters
EUR_FLOO_043346,41.93,37.97,1.511,1.775,2.204,0.279,0.278,0.52,flood,meters
EUR_FLOO_043347,41.93,38.06,1.59,1.846,2.253,0.394,0.399,0.498,flood,meters
EUR_FLOO_043348,41.93,38.15,1.557,1.942,2.367,0.381,0.481,0.582,flood,meters
EUR_FLOO_043349,41.93,38.24,1.431,1.758,2.226,0.251,0.283,0.515,flood,meters
EUR_FLOO_043350,41.93,38.33,1.638,2.032,2.57,0.399,0.493,0.588,flood,meters
EUR_FLOO_043351,41.93,38.42,1.524,1.899,2.436,0.345,0.451,0.657,flood,meters
EUR_FLOO_043352,41.93,38.51,1.404,1.643,2.119,0.247,0.355,0.561,flood,meters
EUR_FLOO_043353,41.93,38.6,1.634,2.027,2.592,0.326,0.369,0.74,flood,meters
EUR_FLOO_043354,41.93,38.69,1.502,1.734,2.174,0.247,0.264,0.461,flood,meters
EUR_FLOO_043355,41.93,38.78,1.665,1.926,2.436,0.402,0.429,0.572,flood,meters
EUR_FLOO_043356,41.93,38.87,1.409,1.735,2.161,0.243,0.423,0.616,flood,meters
EUR_FLOO_043357,41.93,38.96,1.645,1.944,2.448,0.257,0.341,0.626,flood,meters
EUR_FLOO_043358,41.93,39.05,1.666,1.941,2.337,0.323,0.472,0.47,flood,meters
EUR_FLOO_043359,41.93,39.14,1.488,1.725,2.17,0.315,0.424,0.635,flood,meters
EUR_FLOO_043360,41.93,39.23,1.556,1.836,2.294,0.275,0.437,0.505,flood,meters
EUR_FLOO_043361,41.93,39.32,1.711,2.131,2.868,0.286,0.49,0.579,flood,meters
EUR_FLOO_043362,41.93,39.41,1.579,1.902,2.293,0.315,0.325,0.67,flood,meters
EUR_FLOO_043363,41.93,39.5,1.731,2.138,2.573,0.347,0.369,0.653,flood,meters
EUR_FLOO_043364,41.93,39.59,1.54,1.867,2.368,0.271,0.309,0.576,flood,meters
EUR_FLOO_043365,41.93,39.68,1.429,1.739,2.316,0.218,0.311,0.507,flood,meters
EUR_FLOO_043366,41.93,39.77,1.411,1.691,2.142,0.343,0.398,0.634,flood,meters
EUR_FLOO_043367,41.93,39.86,1.52,1.803,2.343,0.284,0.354,0.645,flood,meters
EUR_FLOO_043368,41.93,39.95,1.48,1.75,2.296,0.367,0.418,0.566,flood,meters
EUR_FLOO_043369,42.02,-10.0,1.934,2.413,3.202,0.321,0.444,0.849,flood,meters
EUR_FLOO_043370,42.02,-9.91,1.917,2.228,2.926,0.365,0.536,0.607,flood,meters
EUR_FLOO_043371,42.02,-9.82,1.967,2.325,3.033,0.474,0.515,0.771,flood,meters
EUR_FLOO_043372,42.02,-9.73,1.954,2.293,3.001,0.39,0.558,0.611,flood,meters
EUR_FLOO_043373,42.02,-9.64,1.84,2.199,2.857,0.407,0.505,0.695,flood,meters
EUR_FLOO_043374,42.02,-9.55,1.609,1.922,2.423,0.27,0.402,0.67,flood,meters
EUR_FLOO_043375,42.02,-9.46,1.73,2.052,2.735,0.392,0.499,0.582,flood,meters
EUR_FLOO_043376,42.02,-9.37,1.646,1.896,2.335,0.379,0.345,0.548,flood,meters
EUR_FLOO_043377,42.02,-9.28,1.792,2.069,2.739,0.44,0.483,0.757,flood,meters
EUR_FLOO_043378,42.02,-9.19,1.671,1.924,2.365,0.331,0.294,0.49,flood,meters
EUR_FLOO_043379,42.02,-9.1,1.764,2.193,2.849,0.378,0.462,0.715,flood,meters
EUR_FLOO_043380,42.02,-9.01,1.777,2.191,2.762,0.392,0.351,0.597,flood,meters
EUR_FLOO_043381,42.02,-8.92,1.799,2.219,2.712,0.355,0.388,0.712,flood,meters
EUR_FLOO_043382,42.02,-8.83,1.645,1.929,2.359,0.379,0.392,0.672,flood,meters
EUR_FLOO_043383,42.02,-8.74,1.837,2.27,2.763,0.44,0.392,0.597,flood,meters
EUR_FLOO_043384,42.02,-8.65,1.663,2.005,2.627,0.364,0.324,0.564,flood,meters
EUR_FLOO_043385,42.02,-8.56,1.793,2.158,2.892,0.312,0.398,0.831,flood,meters
EUR_FLOO_043386,42.02,-8.47,1.943,2.284,3.051,0.383,0.486,0.679,flood,meters
EUR_FLOO_043387,42.02,-8.38,1.791,2.07,2.513,0.369,0.455,0.608,flood,meters
EUR_FLOO_043388,42.02,-8.29,1.924,2.354,3.057,0.289,0.411,0.794,flood,meters
EUR_FLOO_043389,42.02,-8.2,1.922,2.312,2.809,0.448,0.436,0.78,flood,meters
EUR_FLOO_043390,42.02,-8.11,1.902,2.331,3.024,0.311,0.396,0.897,flood,meters
EUR_FLOO_043391,42.02,-8.02,1.632,1.946,2.603,0.295,0.351,0.725,flood,meters
EUR_FLOO_043392,42.02,-7.93,1.689,2.086,2.694,0.4,0.508,0.661,flood,meters
EUR_FLOO_043393,42.02,-7.84,1.851,2.141,2.737,0.375,0.528,0.771,flood,meters
EUR_FLOO_043394,42.02,-7.75,1.951,2.4,2.956,0.348,0.502,0.78,flood,meters
EUR_FLOO_043395,42.02,-7.66,1.753,2.14,2.595,0.297,0.352,0.774,flood,meters
EUR_FLOO_043396,42.02,-7.57,1.606,1.955,2.638,0.292,0.409,0.673,flood,meters
EUR_FLOO_043397,42.02,-7.48,1.614,1.931,2.371,0.37,0.463,0.627,flood,meters
EUR_FLOO_043398,42.02,-7.39,1.867,2.18,2.785,0.346,0.474,0.573,flood,meters
EUR_FLOO_043399,42.02,-7.3,1.644,2.048,2.562,0.371,0.459,0.724,flood,meters
EUR_FLOO_043400,42.02,-7.21,1.888,2.223,2.864,0.363,0.524,0.729,flood,meters
EUR_FLOO_043401,42.02,-7.12,1.863,2.244,2.827,0.39,0.484,0.749,flood,meters
EUR_FLOO_043402,42.02,-7.03,1.736,2.09,2.521,0.315,0.405,0.576,flood,meters
EUR_FLOO_043403,42.02,-6.94,1.607,1.934,2.608,0.261,0.314,0.713,flood,meters
EUR_FLOO_043404,42.02,-6.85,1.738,2.162,2.776,0.348,0.49,0.77,flood,meters
EUR_FLOO_043405,42.02,-6.76,1.726,2.022,2.609,0.411,0.41,0.575,flood,meters
EUR_FLOO_043406,42.02,-6.67,1.722,2.023,2.688,0.284,0.471,0.774,flood,meters
EUR_FLOO_043407,42.02,-6.58,1.601,1.869,2.306,0.292,0.356,0.503,flood,meters
EUR_FLOO_043408,42.02,-6.49,1.772,2.128,2.792,0.347,0.502,0.712,flood,meters
EUR_FLOO_043409,42.02,-6.4,1.736,2.15,2.642,0.399,0.438,0.641,flood,meters
EUR_FLOO_043410,42.02,-6.31,1.577,1.914,2.396,0.334,0.404,0.608,flood,meters
EUR_FLOO_043411,42.02,-6.22,1.774,2.194,2.856,0.391,0.429,0.67,flood,meters
EUR_FLOO_043412,42.02,-6.13,1.725,2.138,2.696,0.315,0.362,0.803,flood,meters
EUR_FLOO_043413,42.02,-6.04,1.668,2.008,2.485,0.296,0.42,0.658,flood,meters
EUR_FLOO_043414,42.02,-5.95,1.544,1.837,2.256,0.313,0.357,0.634,flood,meters
EUR_FLOO_043415,42.02,-5.86,1.666,2.076,2.496,0.355,0.459,0.703,flood,meters
EUR_FLOO_043416,42.02,-5.77,1.812,2.127,2.675,0.431,0.433,0.589,flood,meters
EUR_FLOO_043417,42.02,-5.68,1.733,1.999,2.583,0.279,0.425,0.6,flood,meters
EUR_FLOO_043418,42.02,-5.59,1.675,2.008,2.686,0.323,0.5,0.602,flood,meters
EUR_FLOO_043419,42.02,-5.5,1.573,1.924,2.553,0.392,0.339,0.689,flood,meters
EUR_FLOO_043420,42.02,-5.41,1.569,1.839,2.353,0.29,0.44,0.65,flood,meters
EUR_FLOO_043421,42.02,-5.32,1.835,2.181,2.728,0.337,0.401,0.703,flood,meters
EUR_FLOO_043422,42.02,-5.23,1.702,1.997,2.517,0.278,0.431,0.707,flood,meters
EUR_FLOO_043423,42.02,-5.14,1.666,2.079,2.525,0.299,0.352,0.693,flood,meters
EUR_FLOO_043424,42.02,-5.05,1.667,2.045,2.659,0.383,0.331,0.656,flood,meters
EUR_FLOO_043425,42.02,-4.96,1.597,1.979,2.625,0.378,0.407,0.71,flood,meters
EUR_FLOO_043426,42.02,-4.87,1.709,2.108,2.649,0.311,0.415,0.629,flood,meters
EUR_FLOO_043427,42.02,-4.78,1.596,1.955,2.371,0.354,0.418,0.599,flood,meters
EUR_FLOO_043428,42.02,-4.69,1.736,2.07,2.5,0.405,0.495,0.631,flood,meters
EUR_FLOO_043429,42.02,-4.6,1.74,2.043,2.533,0.325,0.34,0.743,flood,meters
EUR_FLOO_043430,42.02,-4.51,1.631,1.944,2.623,0.271,0.367,0.695,flood,meters
EUR_FLOO_043431,42.02,-4.42,1.863,2.302,2.768,0.444,0.537,0.587,flood,meters
EUR_FLOO_043432,42.02,-4.33,1.847,2.281,2.904,0.317,0.419,0.636,flood,meters
EUR_FLOO_043433,42.02,-4.24,1.624,1.924,2.412,0.287,0.388,0.516,flood,meters
EUR_FLOO_043434,42.02,-4.15,1.582,1.855,2.285,0.381,0.415,0.616,flood,meters
EUR_FLOO_043435,42.02,-4.06,1.586,1.909,2.435,0.389,0.373,0.502,flood,meters
EUR_FLOO_043436,42.02,-3.97,1.708,2.11,2.654,0.261,0.423,0.668,flood,meters
EUR_FLOO_043437,42.02,-3.88,1.883,2.21,2.952,0.354,0.428,0.739,flood,meters
EUR_FLOO_043438,42.02,-3.79,1.583,1.917,2.565,0.322,0.288,0.697,flood,meters
EUR_FLOO_043439,42.02,-3.7,1.605,1.909,2.457,0.316,0.333,0.71,flood,meters
EUR_FLOO_043440,42.02,-3.61,1.832,2.156,2.888,0.3,0.469,0.817,flood,meters
EUR_FLOO_043441,42.02,-3.52,1.758,2.187,2.892,0.328,0.422,0.692,flood,meters
EUR_FLOO_043442,42.02,-3.43,1.808,2.1,2.642,0.356,0.419,0.582,flood,meters
EUR_FLOO_043443,42.02,-3.34,1.683,2.098,2.67,0.273,0.482,0.644,flood,meters
EUR_FLOO_043444,42.02,-3.25,1.731,2.154,2.901,0.315,0.506,0.585,flood,meters
EUR_FLOO_043445,42.02,-3.16,1.542,1.917,2.574,0.347,0.466,0.637,flood,meters
EUR_FLOO_043446,42.02,-3.07,1.556,1.887,2.344,0.339,0.337,0.689,flood,meters
EUR_FLOO_043447,42.02,-2.98,1.557,1.936,2.383,0.277,0.323,0.542,flood,meters
EUR_FLOO_043448,42.02,-2.89,1.57,1.908,2.402,0.258,0.293,0.691,flood,meters
EUR_FLOO_043449,42.02,-2.8,1.749,2.181,2.674,0.314,0.448,0.691,flood,meters
EUR_FLOO_043450,42.02,-2.71,1.783,2.103,2.534,0.338,0.346,0.668,flood,meters
EUR_FLOO_043451,42.02,-2.62,1.599,1.935,2.6,0.32,0.403,0.604,flood,meters
EUR_FLOO_043452,42.02,-2.53,1.785,2.165,2.658,0.311,0.538,0.714,flood,meters
EUR_FLOO_043453,42.02,-2.44,1.598,1.877,2.371,0.267,0.371,0.556,flood,meters
EUR_FLOO_043454,42.02,-2.35,1.612,1.998,2.47,0.245,0.35,0.7,flood,meters
EUR_FLOO_043455,42.02,-2.26,1.791,2.196,2.696,0.355,0.429,0.784,flood,meters
EUR_FLOO_043456,42.02,-2.17,1.627,1.962,2.419,0.323,0.295,0.614,flood,meters
EUR_FLOO_043457,42.02,-2.08,1.76,2.109,2.588,0.294,0.484,0.658,flood,meters
EUR_FLOO_043458,42.02,-1.99,1.588,1.962,2.486,0.363,0.456,0.57,flood,meters
EUR_FLOO_043459,42.02,-1.9,1.733,2.086,2.766,0.35,0.354,0.728,flood,meters
EUR_FLOO_043460,42.02,-1.81,1.717,2.001,2.584,0.312,0.484,0.774,flood,meters
EUR_FLOO_043461,42.02,-1.72,1.591,1.876,2.485,0.258,0.318,0.685,flood,meters
